Ainola,AIN,Järvenpää,JP,NORTH
Ainola,AIN,Kerava,KE,SOUTH
Aviapolis,AVP,Lentoasema,LEN,NORTH
Aviapolis,AVP,Kivistö,KTÖ,SOUTH
Espoo,EPO,Kauklahti,KLH,NORTH
Espoo,EPO,Tuomarila,TRL,SOUTH
Haarajoki,HAA,Mäntsälä,MLÄ,NORTH
Haarajoki,HAA,Kerava,KE,SOUTH
Hämeenlinna,HL,Parola,PRL,NORTH
Hämeenlinna,HL,Turenki,TU,SOUTH
Härmä,HM,Pietarsaari-Pedersöre,PNÄ,NORTH
Härmä,HM,Kauhava,KHA,SOUTH
Helsinki,HKI,Pasila,PSL,NORTH
Henna,HNN,Lahti,LH,NORTH
Henna,HNN,Mäntsälä,MLÄ,SOUTH
Herrala,HR,Lahti,LH,NORTH
Herrala,HR,Järvelä,JR,SOUTH
Hiekkaharju,HKH,Leinelä,LNÄ,NORTH
Hiekkaharju,HKH,Koivukylä,KVY,NORTH
Hiekkaharju,HKH,Tikkurila,TKL,SOUTH
Hikiä,HK,Oitti,OI,NORTH
Hikiä,HK,Riihimäki,RI,SOUTH
Humppila,HP,Loimaa,LM,NORTH
Humppila,HP,Toijala,TL,SOUTH
Huopalahti,HPL,Pohjois-Haaga,POH,NORTH
Huopalahti,HPL,Valimo,VMO,NORTH
Huopalahti,HPL,Ilmala,ILA,SOUTH
Hyvinkää,HY,Riihimäki,RI,NORTH
Hyvinkää,HY,Jokela,JK,SOUTH
Iisalmi,ILM,Runni,RNN,NORTH
Iisalmi,ILM,Sukeva,SKV,NORTH
Iisalmi,ILM,Lapinlahti,LNA,SOUTH
Iittala,ITA,Toijala,TL,NORTH
Iittala,ITA,Parola,PRL,SOUTH
Ilmala,ILA,Huopalahti,HPL,NORTH
Ilmala,ILA,Pasila,PSL,SOUTH
Imatra,IMR,Simpele,SPL,NORTH
Imatra,IMR,Joutseno,JTS,SOUTH
Jämsä,JÄS,Jyväskylä,JY,NORTH
Jämsä,JÄS,Orivesi,OV,SOUTH
